Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
"Population, total",SP.POP.TOTL,Lebanon,LBN,5489739
"Population, total",SP.POP.TOTL,Lesotho,LSO,2305825
"Population, total",SP.POP.TOTL,Liberia,LBR,5302681
"Population, total",SP.POP.TOTL,Libya,LBY,6812341
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,39327
"Population, total",SP.POP.TOTL,Lithuania,LTU,2831639
"Population, total",SP.POP.TOTL,Luxembourg,LUX,653103
"Population, total",SP.POP.TOTL,Madagascar,MDG,29611714
"Population, total",SP.POP.TOTL,Malawi,MWI,20405317
"Population, total",SP.POP.TOTL,Malaysia,MYS,33938221
"Population, total",SP.POP.TOTL,Maldives,MDV,523787
"Population, total",SP.POP.TOTL,Mali,MLI,22593590
"Population, total",SP.POP.TOTL,Malta,MLT,531113
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,41569
"Population, total",SP.POP.TOTL,Mauritania,MRT,4736139
"Population, total",SP.POP.TOTL,Mauritius,MUS,1262523
"Population, total",SP.POP.TOTL,Mexico,MEX,127504125
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,114164
"Population, total",SP.POP.TOTL,Moldova,MDA,2538894
"Population, total",SP.POP.TOTL,Monaco,MCO,36469
"Population, total",SP.POP.TOTL,Mongolia,MNG,3398366
"Population, total",SP.POP.TOTL,Montenegro,MNE,617213
"Population, total",SP.POP.TOTL,Morocco,MAR,37457971
"Population, total",SP.POP.TOTL,Mozambique,MOZ,32969518
"Population, total",SP.POP.TOTL,Myanmar,MMR,54179306
"Population, total",SP.POP.TOTL,Namibia,NAM,2567012
"Population, total",SP.POP.TOTL,Nauru,NRU,12668
"Population, total",SP.POP.TOTL,Nepal,NPL,30547580
"Population, total",SP.POP.TOTL,Netherlands,NLD,17700982
"Population, total",SP.POP.TOTL,New Caledonia,NCL,269215
"Population, total",SP.POP.TOTL,New Zealand,NZL,5117200
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6948392
"Population, total",SP.POP.TOTL,Niger,NER,26207977
"Population, total",SP.POP.TOTL,Nigeria,NGA,218541212
"Population, total",SP.POP.TOTL,North Macedonia,MKD,1831712
"Population, total",SP.POP.TOTL,Norway,NOR,5457127
"Population, total",SP.POP.TOTL,Oman,OMN,4576298
"Population, total",SP.POP.TOTL,Pakistan,PAK,235824862
"Population, total",SP.POP.TOTL,Palau,PLW,18055
"Population, total",SP.POP.TOTL,Panama,PAN,4408581
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,10142619
"Population, total",SP.POP.TOTL,Paraguay,PRY,6780744
"Population, total",SP.POP.TOTL,Peru,PER,34049588
"Population, total",SP.POP.TOTL,Philippines,PHL,115559009
"Population, total",SP.POP.TOTL,Poland,POL,36821749
"Population, total",SP.POP.TOTL,Portugal,PRT,10409704
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3220113
"Population, total",SP.POP.TOTL,Qatar,QAT,2695122
"Population, total",SP.POP.TOTL,Romania,ROU,19047009
"Population, total",SP.POP.TOTL,Russian Federation,RUS,144236933
"Population, total",SP.POP.TOTL,Rwanda,RWA,13776698
"Population, total",SP.POP.TOTL,Samoa,WSM,222382
"Population, total",SP.POP.TOTL,San Marino,SMR,33660
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,227380
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,36408820
"Population, total",SP.POP.TOTL,Senegal,SEN,17316449
"Population, total",SP.POP.TOTL,Serbia,SRB,6664449
"Population, total",SP.POP.TOTL,Seychelles,SYC,119878
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,8605718
"Population, total",SP.POP.TOTL,Singapore,SGP,5637022
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5431752
"Population, total",SP.POP.TOTL,Slovenia,SVN,2111986
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,724273
"Population, total",SP.POP.TOTL,Somalia,SOM,17597511
"Population, total",SP.POP.TOTL,South Africa,ZAF,59893885
"Population, total",SP.POP.TOTL,South Sudan,SSD,10913164
"Population, total",SP.POP.TOTL,Spain,ESP,47778340
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,22181000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,47657
"Population, total",SP.POP.TOTL,St. Lucia,LCA,179857
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,103948
"Population, total",SP.POP.TOTL,Sudan,SDN,46874204
"Population, total",SP.POP.TOTL,Suriname,SUR,618040
"Population, total",SP.POP.TOTL,Sweden,SWE,10486941
"Population, total",SP.POP.TOTL,Switzerland,CHE,8775760
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,22125249
"Population, total",SP.POP.TOTL,Tajikistan,TJK,9952787
"Population, total",SP.POP.TOTL,Tanzania,TZA,65497748
"Population, total",SP.POP.TOTL,Thailand,THA,71697030
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1341296
"Population, total",SP.POP.TOTL,Togo,TGO,8848699
"Population, total",SP.POP.TOTL,Tonga,TON,106858
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1531044
"Population, total",SP.POP.TOTL,Tunisia,TUN,12356117
"Population, total",SP.POP.TOTL,Turkiye,TUR,84979913
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,6430770
"Population, total",SP.POP.TOTL,Tuvalu,TUV,11312
"Population, total",SP.POP.TOTL,Uganda,UGA,47249585
"Population, total",SP.POP.TOTL,Ukraine,UKR,38000000
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,9441129
"Population, total",SP.POP.TOTL,United Kingdom,GBR,67791000
"Population, total",SP.POP.TOTL,United States,USA,333271411
"Population, total",SP.POP.TOTL,Uruguay,URY,3422794
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,35648100
"Population, total",SP.POP.TOTL,Vanuatu,VUT,326740
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,28301696
"Population, total",SP.POP.TOTL,Viet Nam,VNM,98186856
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,33696614
"Population, total",SP.POP.TOTL,Zambia,ZMB,20017675
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,16320537
